# compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- | copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
# Started at Thu May 27 13:39:30 CEST 2021
#
copy-feats --write-num-frames=ark,t:exp/make_mfcc/train_teamlab/utt2num_frames.1 --compress=true ark:- ark,scp:/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.ark,/mount/studenten/arbeitsdaten-studenten1/team-lab-phonetics/2021/student_directories/Vanessa_Dengel/kaldi/egs/teamlab/s5/mfcc/raw_mfcc_train_teamlab.1.scp 
compute-mfcc-feats --write-utt2dur=ark,t:exp/make_mfcc/train_teamlab/utt2dur.1 --verbose=2 --config=conf/mfcc.conf scp,p:exp/make_mfcc/train_teamlab/wav_train_teamlab.1.scp ark:- 
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_0_00_4_51
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1025_14_1051_25
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1054_70_1056_93
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1059_17_1064_40
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1066_39_1074_96
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1145_19_1152_50
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1169_63_1176_53
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1176_78_1182_66
VLOG[2] (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:182) Processed features for key c_3_1275_08_1279_46
LOG (compute-mfcc-feats[5.5.925~1-ded7b]:main():compute-mfcc-feats.cc:181) Processed 10 utterances
