# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Tue Jul 13 13:24:16 CEST 2021
#
At utterance begin, SIL accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (87,80.2,124) frames.
At utterance begin, nonsilence accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,10) frames.
At utterance begin, DH_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,4) frames.
At utterance begin, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, EH1_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance begin, IH0_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,11) frames.
At utterance begin, L_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, T_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,10) frames.
At utterance end, SIL accounts for 89.0% of phone occurrences, with duration (median, mean, 95-percentile) is (34,45.6,104) frames.
At utterance end, nonsilence accounts for 11.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.2,27) frames.
At utterance end, D_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,20.0,27) frames.
At utterance end, N_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,18.5,12) frames.
At utterance end, S_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,18.5,11) frames.
At utterance end, AY2_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,12) frames.
At utterance end, CH_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.0,17) frames.
At utterance end, EY1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,9) frames.
At utterance end, IY1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.0,21) frames.
At utterance end, UW1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (23,23.0,23) frames.
Overall, nonsilence accounts for 93.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,25) frames.
Overall, SIL accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (57,66.6,164) frames.
Overall, AH0_I accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, T_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.6,26) frames.
Overall, N_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.7,27) frames.
Overall, W_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, S_B accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.6,18) frames.
Overall, D_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.3,31) frames.
Overall, N_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,17) frames.
Overall, T_B accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,14) frames.
Overall, EH1_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, Z_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.1,36) frames.
Overall, IH0_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
Overall, T_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, K_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, R_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,14) frames.
Overall, AH0_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,20) frames.
Overall, DH_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.4,31) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, L_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.5,42) frames.
Overall, IY1_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.9,46) frames.
Overall, S_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.6,42) frames.
Overall, IY0_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.2,32) frames.
Overall, D_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,12) frames.
Overall, K_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,13) frames.
Overall, L_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,18) frames.
Overall, AH1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,17) frames.
Overall, S_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,15) frames.
Overall, R_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
