# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun Jul  4 03:13:22 CEST 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 74.7422680412% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 96.4% of phone occurrences, with duration (median, mean, 95-percentile) is (83,78.6,110) frames.
At utterance begin, nonsilence accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,18.1,27) frames.
At utterance begin, DH_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,17.0,7) frames.
At utterance begin, AE1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.0,14) frames.
At utterance begin, AH0_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,19.0,19) frames.
At utterance begin, IH0_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, IH1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (50,50.0,50) frames.
At utterance begin, T_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance end, SIL accounts for 74.7% of phone occurrences, with duration (median, mean, 95-percentile) is (31,59.2,215) frames.
At utterance end, nonsilence accounts for 23.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.0,31) frames.
At utterance end, L_E accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.9,13) frames.
At utterance end, T_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,10) frames.
At utterance end, IY0_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.5,12) frames.
At utterance end, N_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.5,22) frames.
At utterance end, S_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.0,20) frames.
At utterance end, Z_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.8,4) frames.
At utterance end, SPN_S accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,30.7,23) frames.
